date,sido,sigungu,area_ha,cause_type,cause_detail
2022-02-28,경북,경북,0.67,입,기타(직접입력)
2022-03-01,경북,경북,1.69,기,방화
2022-03-01,충남,충남,0.05,기,기타(직접입력)
2022-03-02,남부,부산,20.0,기,기타(직접입력)
2022-03-03,경북,경북,0.2,,주택화재비화
2022-03-03,경북,경북,0.2,담,담뱃불실화
2022-03-03,경기,경기,0.13,,농산폐기물소각
2022-03-03,경기,경기,0.01,기,기타(직접입력)
2022-03-03,경북,경북,0.3,담,담뱃불실화
2022-03-03,경남,경남,0.45,입,기타(직접입력)
2022-03-03,경기,경기,0.01,입,기타(직접입력)
2022-03-04,강원,강원,30.89,기,기타(직접입력)
2022-03-04,경남,경남,16.3,입,기타(직접입력)
2022-03-04,경기,경기,0.09,,기타(직접입력)
2022-03-04,충남,충남,0.77,기,기타(직접입력)
2022-03-04,서울,서울,1.8,,주택화재비화
2022-03-04,강원,강원,184.01,기,기타(직접입력)
2022-03-04,경북,경북,16301.98,기,기타(직접입력)
2022-03-04,경북,경북,6.54,기,기타(직접입력)
2022-03-04,인천,인천,0.01,기,기타(직접입력)
2022-03-04,경북,경북,0.01,담,담뱃불실화
2022-03-05,대구,대구,22.96,기,기타(직접입력)
2022-03-05,경남,경남,0.01,쓰,쓰레기소각
2022-03-05,충남,충남,5.0,기,기타(직접입력)
2022-03-05,충남,충남,0.02,기,작업장실화
2022-03-05,경북,경북,0.8,쓰,쓰레기소각
2022-03-05,경기,경기,8.0,,기타(직접입력)
2022-03-05,경북,경북,3.86,,논밭두렁소각
2022-03-05,경남,경남,0.7,입,기타(직접입력)
2022-03-05,강원,강원,4190.38,기,방화
2022-03-05,충남,충남,0.1,입,기타(직접입력)
2022-03-05,경남,경남,0.5,,기타(직접입력)
2022-03-06,경남,경남,0.01,,농산폐기물소각
2022-03-06,경남,경남,0.1,기,기타(직접입력)
2022-03-06,울산,울산,11.0,입,기타(직접입력)
2022-03-06,경남,경남,0.03,입,기타(직접입력)
2022-03-06,충남,충남,0.06,입,기타(직접입력)
2022-03-06,부산,부산,1.0,기,기타(직접입력)
2022-03-06,경남,경남,0.5,기,기타(직접입력)
2022-03-07,대구,대구,0.04,입,기타(직접입력)
2022-03-07,경기,경기,0.01,쓰,쓰레기소각
2022-03-07,충남,충남,0.03,입,기타(직접입력)
2022-03-08,전북,전북,1.0,입,기타(직접입력)
2022-03-08,경기,경기,2.15,기,기타(직접입력)
2022-03-08,제주,제주,0.2,담,담뱃불실화
2022-03-08,울산,울산,0.2,담,담뱃불실화
2022-03-08,강원,강원,1.1,쓰,쓰레기소각
2022-03-09,전북,전북,0.1,,농산폐기물소각
2022-03-09,경기,경기,1.3,입,기타(직접입력)
2022-03-09,경남,경남,0.1,,농산폐기물소각
2022-03-09,전북,전북,0.2,입,기타(직접입력)
2022-03-09,전북,전북,0.3,기,작업장실화
2022-03-09,경기,경기,0.06,기,기타(직접입력)
2022-03-09,울산,울산,1.0,기,기타(직접입력)
2022-03-10,전남,전남,0.1,기,기타(직접입력)
2022-03-10,경기,경기,0.66,기,기타(직접입력)
2022-03-10,경기,경기,0.2,기,기타(직접입력)
2022-03-10,충남,충남,1.0,,농산폐기물소각
2022-03-10,충남,충남,0.41,입,기타(직접입력)
2022-03-10,남부,경북,1.16,입,기타(직접입력)
2022-03-10,충남,충남,0.1,담,담뱃불실화
2022-03-11,전북,전북,0.04,입,기타(직접입력)
2022-03-11,경기,경기,0.3,기,기타(직접입력)
2022-03-11,전북,전북,0.01,담,담뱃불실화
