date,sido,total_area_ha,fire_count
2022-12-07,경남,0.01,1
2022-12-07,전남,0.05,1
2022-12-08,경남,0.2,1
2022-12-08,울산,0.02,1
2022-12-08,충북,0.05,1
2022-12-10,울산,0.02,1
2022-12-13,대구,0.01,1
2022-12-14,강원,5.2,1
2022-12-15,과학원,0.01,1
2022-12-15,전남,0.05,1
2022-12-16,경북,0.06,1
2022-12-17,강원,0.3,1
2022-12-19,경남,0.03,1
2022-12-19,전남,0.03,1
2022-12-20,경북,0.16,1
2022-12-24,경남,0.1,1
2022-12-25,강원,0.03,1
2022-12-26,경남,0.11,2
2022-12-26,울산,0.02,1
2022-12-27,경남,0.06,1
2022-12-28,울산,0.2,1
2022-12-29,경북,0.1,1
2022-12-29,부산,2.0,1
2022-12-30,경북,1.31,2
2022-12-30,울산,0.2,1
2022-12-31,전남,0.02,1
2023-01-01,경북,0.09,1
2023-01-02,경북,0.05,1
2023-01-02,인천,0.33,1
2023-01-03,남부,0.77,1
2023-01-03,부산,0.05,1
2023-01-04,부산,0.02,1
2023-01-05,경북,0.03,1
2023-01-06,전남,0.05,1
2023-01-06,전북,0.03,1
2023-01-08,부산,0.4,1
2023-01-09,강원,0.06,1
2023-01-09,경남,0.1,1
2023-01-09,광주,0.06,1
2023-01-10,경남,0.05,1
2023-01-11,강원,0.1,1
2023-01-12,경기,0.01,1
2023-01-12,경북,32.53,1
2023-01-12,남부,1.21,1
2023-01-12,전남,0.7,1
2023-01-13,경남,0.04,1
2023-01-21,강원,0.01,1
2023-01-21,경남,0.03,1
2023-01-21,전남,0.8,1
2023-01-21,전북,0.3,1
2023-01-22,경남,0.01,1
2023-01-22,울산,0.01,1
2023-01-23,경남,0.06,1
2023-01-24,경남,0.01,1
2023-01-24,부산,0.07,1
2023-01-25,경기,0.12,1
2023-01-26,부산,0.01,1
2023-01-27,경북,0.5,1
2023-01-28,경북,0.1,1
2023-01-28,부산,0.03,1
2023-01-29,경남,0.1,1
2023-01-29,전남,0.6,1
2023-01-30,울산,0.02,1
2023-01-31,강원,0.02,1
2023-02-01,경남,4.38,1
2023-02-01,경북,1.3,1
2023-02-01,부산,0.03,1
2023-02-01,세종,0.05,1
2023-02-01,울산,0.2,1
2023-02-01,중부,0.17,1
2023-02-03,경기,0.95,1
2023-02-03,북부,0.48,1
2023-02-04,경북,0.1,1
2023-02-04,부산,0.5,1
2023-02-04,전남,0.1,1
2023-02-05,경기,0.03,1
2023-02-05,경남,0.19,4
2023-02-05,전남,0.2,1
2023-02-05,전북,0.2,1
2023-02-06,경남,0.51,1
2023-02-06,경북,0.19,1
2023-02-06,전남,0.1,1
2023-02-06,전북,0.4,2
2023-02-07,경기,0.02,2
2023-02-07,경남,0.76,1
2023-02-07,경북,0.16,1
2023-02-08,경남,1.82,1
2023-02-08,대전,0.33,1
2023-02-08,전남,0.32,2
2023-02-09,전북,0.4,1
2023-02-09,충남,0.01,1
2023-02-10,경기,0.01,1
2023-02-12,경기,0.06,1
2023-02-14,경기,0.03,1
2023-02-15,경기,0.1,1
2023-02-15,경남,0.03,1
2023-02-15,세종,0.04,1
2023-02-17,북부,0.55,1
2023-02-17,세종,0.49,1
2023-02-17,전남,0.1,1
2023-02-19,경기,0.12,1
2023-02-19,경북,1.03,1
2023-02-20,경기,0.3,1
2023-02-20,경북,0.1,1
2023-02-20,북부,0.01,1
2023-02-21,경기,0.07,1
2023-02-21,경북,0.51,1
2023-02-22,강원,0.19,1
2023-02-22,경기,0.27,1
2023-02-22,충북,2.1,1
2023-02-23,강원,0.56,1
2023-02-23,경남,0.5,1
2023-02-23,경북,1.25,1
2023-02-23,울산,0.03,1
2023-02-23,충남,1.0,1
2023-02-24,경북,0.08,1
2023-02-24,대전,0.01,1
2023-02-24,부산,3.0,1
2023-02-24,전남,0.45,1
2023-02-25,경기,0.69,2
2023-02-25,경남,0.4,3
2023-02-25,경북,0.5,2
2023-02-25,인천,0.02,1
2023-02-25,전남,0.1,1
2023-02-25,충남,2.36,3
2023-02-26,강원,0.45,1
2023-02-26,경기,0.99,3
2023-02-26,경북,2.0,1
2023-02-26,광주,0.02,1
2023-02-26,세종,0.07,1
2023-02-26,인천,0.6,1
2023-02-26,전남,0.54,3
2023-02-26,전북,0.82,4
2023-02-26,충북,0.38,1
2023-02-27,강원,0.3,1
2023-02-27,경남,3.11,2
2023-02-27,경북,1.41,3
2023-02-27,전북,0.3,1
2023-02-27,충남,11.92,3
2023-02-28,강원,0.28,1
2023-02-28,경북,108.05,5
2023-02-28,동부,0.27,1
2023-02-28,전남,0.1,1
2023-02-28,전북,2.8,3
2023-02-28,충남,0.3,1
2023-03-01,경기,0.16,1
2023-03-01,경북,0.37,1
2023-03-01,전남,0.3,1
2023-03-02,경기,2.6900000000000004,3
2023-03-02,경남,0.1,1
2023-03-02,경북,9.77,1
2023-03-02,광주,0.3,1
2023-03-02,남부,0.1,1
2023-03-02,전남,1.52,3
2023-03-02,전북,0.22,2
2023-03-02,충남,0.1,1
2023-03-03,강원,0.06,1
2023-03-03,경기,0.03,2
2023-03-03,경남,0.13,1
2023-03-03,광주,0.08,1
2023-03-03,남부,16.1,1
2023-03-03,세종,0.39,1
2023-03-03,전남,47.0,1
2023-03-03,충남,2.32,5
2023-03-04,광주,0.01,1
2023-03-04,대구,0.94,1
2023-03-04,대전,0.01,1
2023-03-04,전남,0.5,1
2023-03-04,전북,0.1,1
2023-03-04,중부,0.3,1
2023-03-04,충남,0.3,1
2023-03-05,경남,0.09,1
2023-03-05,경북,3.0,1
2023-03-05,광주,0.05,1
2023-03-05,대전,0.15,1
2023-03-05,인천,0.01,1
2023-03-05,전남,0.35,2
2023-03-05,전북,0.3,1
2023-03-05,충남,1.4,2
2023-03-06,강원,0.18000000000000002,2
2023-03-06,경기,1.4,2
2023-03-06,경남,0.41000000000000003,2
2023-03-06,경북,3.96,4
2023-03-06,전남,2.36,3
2023-03-06,전북,0.4,1
2023-03-06,충북,0.30000000000000004,2
2023-03-07,경기,0.01,1
2023-03-07,경남,3.73,1
2023-03-07,경북,0.03,1
2023-03-07,대구,0.53,2
2023-03-07,부산,0.03,1
2023-03-07,충남,7.06,2
2023-03-08,경기,0.15,1
2023-03-08,경남,179.1,1
2023-03-08,대구,0.5800000000000001,2
2023-03-08,전남,2.0,1
2023-03-08,충남,30.0,1
2023-03-09,경기,0.06,1
2023-03-09,전남,0.1,1
